Id;Address;Longitude;Latitude;CenterDistance;Station;StationDistance;District;Cena;LnCena;CenaM;Nkomnat;Elit;PlOb;LnPlOb;PlZ;LnPlZ;PlK;LnPlK;ketaz;Type;God;Tel;Bal
32;Харьковская,86;27,501087;53,89623;4036;Пушкинская;1488;Фрунзенский;36000;10,4912742174;1200;1;0;30;3,4011973817;17;2,8332133441;5;1,6094379124;1;1;1968;1;0
33;Я.Марвра, 5;27,490334;53,903652;4686;Пушкинская;786;Фрунзенский;42000;10,6454248973;1200;1;0;35;3,5553480615;17;2,8332133441;8;2,0794415417;1;0;1974;1;1
34;М.Горецкого, 67;27,438942;53,889752;8169;Каменная Горка;1875;Фрунзенский;48000;10,7789562899;1455;1;0;33;3,4965075615;17;2,8332133441;7,2;1,974081026;1;0;1998;1;1
35;Фёдорова, 9;27,424595;53,883893;9219;Каменная Горка;2659;Фрунзенский;55000;10,9150884642;1410;1;0;39;3,6635616461;17;2,8332133441;9;2,1972245773;0;0;2000;1;1
36;Харьковская, 86;27,501087;53,89623;4036;Пушкинская;1488;Фрунзенский;36000;10,4912742174;1200;1;0;30;3,4011973817;17;2,8332133441;5;1,6094379124;1;1;1968;1;0
37;Я.Мавра, 5;27,490334;53,903652;4686;Пушкинская;786;Фрунзенский;42000;10,6454248973;1200;1;0;35;3,5553480615;17;2,8332133441;8;2,0794415417;1;0;1974;1;1
38;Притыцкого, 47;27,478072;53,905774;5500;Спортивная;333;Фрунзенский;64000;11,0666383623;1561;1;1;41;3,7135720667;17;2,8332133441;9,5;2,2512917986;0;0;2005;1;1
39;Червякова, 2/2;27,553701;53,920911;2139;Немига;1687;Центральный;47000;10,7579028807;1382;1;0;34;3,5263605246;17;2,8332133441;7,2;1,974081026;0;0;1984;1;1
40;Тарханова, 9/а;27,529231;53,917448;2722;Молодёжная;1268;Центральный;50000;10,8197782844;1562;1;2;32;3,4657359028;17;2,8332133441;7;1,9459101491;0;1;1968;1;0
41;Осипенко, 26;27,554941;53,925831;2657;Площадь Якуба Коласа;2184;Центральный;53000;10,8780471925;1828;1;2;29;3,36729583;17;2,8332133441;6;1,7917594692;0;1;1961;1;1
42;Заславская, 18/2;27,535996;53,911455;1977;Фрунзенская;706;Центральный;70000;11,156250521;2121;1;2;33;3,4965075615;17;2,8332133441;7,2;1,974081026;0;0;1986;0;1
43;пр-т Независимости, 87;27,605283;53,922973;3656;Академия наук;421;Первомайский;69000;11,1418617836;2226;1;2;31;3,4339872045;17;2,8332133441;6;1,7917594692;0;1;1961;1;0
44;Калиновского, 107;27,641862;53,944696;7044;Восток;1274;Первомайский;40000;10,5966347331;1201;1;2;33,3;3,505557397;17,1;2,8390784635;6,1;1,8082887712;1;0;1967;0;0
45;Одинцова, 3/2;27,459549;53,898427;6713;Кунцевщина;912;Фрунзенский;63000;11,0508900054;1575;1;1;40;3,6888794541;17,1;2,8390784635;9,5;2,2512917986;0;0;2004;1;1
46;Гурского, 33;27,492158;53,879493;5220;Институт Культуры;3240;Московский;74000;11,2118203722;1787;1;2;41,4;3,7232808808;17,1;2,8390784635;11;2,3978952728;0;1;2002;1;1
