N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
61,Московский,34000,10.4341158,1133,1,30,3.401197382,18,2.890371758,6,1.791759469,1,0,1963
62,Октябрьский,42500,10.65725935,1328,1,32,3.465735903,18,2.890371758,6.4,1.85629799,0,1,1968
63,Первомайский,65000,11.08214255,1776,1,36.6,3.60004824,18,2.890371758,9,2.197224577,0,0,1980
64,Первомайский,63000,11.05089001,1416,1,44.5,3.795489189,18,2.890371758,9.2,2.219203484,0,0,2004
65,Фрунзенский,47500,10.76848499,1357,1,35,3.555348061,18,2.890371758,7.5,2.014903021,0,0,1973
66,Фрунзенский,43000,10.66895539,1254,1,34.3,3.535145354,18,2.890371758,6,1.791759469,0,1,1973
67,Фрунзенский,52000,10.858999,1486,1,35,3.555348061,18,2.890371758,7.5,2.014903021,0,0,1971
68,Фрунзенский,56500,10.94199592,1256,1,45,3.80666249,18,2.890371758,9.5,2.251291799,0,0,2003
69,Центральный,55000,10.91508846,1618,1,34,3.526360525,18,2.890371758,7,1.945910149,1,0,1970
70,Центральный,43000,10.66895539,1433,1,30,3.401197382,18,2.890371758,6,1.791759469,1,1,1969
71,Центральный,55000,10.91508846,1618,1,34,3.526360525,18,2.890371758,7,1.945910149,1,0,1970
74,Первомайский,60000,11.00209984,1415,1,42.4,3.747148362,18.2,2.901421594,9.5,2.251291799,0,1,2005
75,Первомайский,49000,10.79957558,1541,1,31.8,3.45946629,18.9,2.939161922,5.7,1.740466175,0,0,1963
77,Заводской,47000,10.75790288,1424,1,33,3.496507561,19,2.944438979,6,1.791759469,0,1,1972
78,Ленинский,48000,10.77895629,1333,1,36,3.583518938,19,2.944438979,6.5,1.871802177,1,1,1978
79,Ленинский,84000,11.33857208,1292,2,65,4.17438727,19,2.944438979,41,3.713572067,0,0,2009
81,Советский,46000,10.73639668,1394,1,33,3.496507561,19,2.944438979,6,1.791759469,1,1,1970
82,Советский,49000,10.79957558,1531,1,32,3.465735903,19,2.944438979,5.8,1.757857918,0,0,1967
83,Центральный,46500,10.74720759,1500,1,31,3.433987204,19,2.944438979,6,1.791759469,0,0,1963
85,Советский,55000,10.91508846,1852,1,29.7,3.391147046,19.1,2.949688335,6,1.791759469,1,1,1961
86,Октябрьский,68000,11.12726298,1557,1,43.67,3.776661367,19.3,2.960105096,10.3,2.332143895,1,1,1956
87,Партизанский,78000,11.26446411,2091,1,37.3,3.618993327,19.5,2.970414466,8.5,2.140066163,0,1,1958
88,Фрунзенский,69000,11.14186178,1345,1,51.3,3.937690752,20.2,3.005682604,11.2,2.415913778,0,0,2007
90,Московский,46000,10.73639668,1211,2,38,3.63758616,22.1,3.095577609,7.4,2.00148,0,1,1966
91,Московский,61500,11.02679245,1281,1,48,3.871201011,23,3.135494216,9,2.197224577,0,0,2005
93,Первомайский,47000,10.75790288,1306,2,36,3.583518938,23,3.135494216,6,1.791759469,1,1,1970
94,Советский,53000,10.87804719,1262,2,42,3.737669618,23,3.135494216,6,1.791759469,0,1,1963
95,Фрунзенский,75100,11.22657584,1336,1,56.2,4.028916757,23.5,3.157000421,10.3,2.332143895,0,1,2008
96,Советский,110000,11.60823564,1630,2,67.5,4.212127598,23.6,3.161246712,25.5,3.238678452,1,1,1974
