N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God,Address,Longitude,Latitude,CenterDistance,Station,StationDistance,LnCenterDistance,LnStationDistance
57,Ленинский,59000,10.98529272,1372,1,43,3.761200116,18,2.890371758,10,2.302585093,0,0,2004,"Я.Лучины, 8",27.568371,53.838379,7113,Институт Культуры,5607,8.869679374733515,8.631771096123673
58,Ленинский,49000,10.79957558,1289,1,38,3.63758616,18,2.890371758,8,2.079441542,1,0,1988,"Малинина, 8",27.620904,53.85585,6447,Партизанская,2241,8.77137018531062,7.714677473800927
59,Ленинский,52000,10.858999,1405,1,37,3.610917913,18,2.890371758,7,1.945910149,0,0,1988,"Малинина, 8",27.620904,53.85585,6447,Партизанская,2241,8.77137018531062,7.714677473800927
60,Ленинский,57000,10.95080655,1500,1,38,3.63758616,18,2.890371758,7,1.945910149,1,0,1983,"Плеханова, 58/3",27.593065,53.864049,4714,Партизанская,2705,8.458292083496076,7.902857191280582
61,Московский,34000,10.4341158,1133,1,30,3.401197382,18,2.890371758,6,1.791759469,1,0,1963,"Волоха, 53",27.509504,53.89423,3543,Молодёжная,1650,8.172729104865471,7.408530566894626
62,Октябрьский,42500,10.65725935,1328,1,32,3.465735903,18,2.890371758,6.4,1.85629799,0,1,1968,"Пуховичская, 18",27.549964,53.8497,5894,Институт Культуры,4089,8.68169016329764,8.316055720364643
63,Первомайский,65000,11.08214255,1776,1,36.6,3.60004824,18,2.890371758,9,2.197224577,0,0,1980,"пл. Независимости, 155/1",27.547242,53.895509,1218,Площадь Ленина,228,7.1049654482698426,5.429345628954441
64,Первомайский,63000,11.05089001,1416,1,44.5,3.795489189,18,2.890371758,9.2,2.219203484,0,0,2004,"Филимонова, 14",27.63534,53.910808,4902,Московская,1988,8.497398564088058,7.59488438721652
65,Фрунзенский,47500,10.76848499,1357,1,35,3.555348061,18,2.890371758,7.5,2.014903021,0,0,1973,"Матусевича, 32",27.475233,53.916732,5894,Спортивная,1003,8.68169016329764,6.910750787961936
66,Фрунзенский,43000,10.66895539,1254,1,34.3,3.535145354,18,2.890371758,6,1.791759469,0,1,1973,"Д.Сердича, 74",27.489364,53.920937,5179,Пушкинская,1379,8.552367266423891,7.229113877793302
67,Фрунзенский,52000,10.858999,1486,1,35,3.555348061,18,2.890371758,7.5,2.014903021,0,0,1971,"Одоевского, 109",27.483552,53.901164,5129,Спортивная,815,8.542665987389269,6.703188113240863
68,Фрунзенский,56500,10.94199592,1256,1,45,3.80666249,18,2.890371758,9.5,2.251291799,0,0,2003,"Шаранговича, 59-2",27.43516,53.879896,8663,Каменная Горка,2971,9.06681636189014,7.9966538754626075
69,Центральный,55000,10.91508846,1618,1,34,3.526360525,18,2.890371758,7,1.945910149,1,0,1970,"Карастояновой, 25",27.564526,53.936073,3760,Площадь Якуба Коласа,2568,8.23217423638394,7.850882664809852
70,Центральный,43000,10.66895539,1433,1,30,3.401197382,18,2.890371758,6,1.791759469,1,1,1969,"Орловская, 31",27.553072,53.931949,3347,Площадь Якуба Коласа,2684,8.115819701211327,7.895063498091573
71,Центральный,55000,10.91508846,1618,1,34,3.526360525,18,2.890371758,7,1.945910149,1,0,1970,"Каростояновой, 25",27.564526,53.936073,3760,Площадь Якуба Коласа,2568,8.23217423638394,7.850882664809852
74,Первомайский,60000,11.00209984,1415,1,42.4,3.747148362,18.2,2.901421594,9.5,2.251291799,0,1,2005,"Филимонова, 55/3",27.638332,53.925248,5618,Московская,778,8.633731007664188,6.656726524178391
75,Первомайский,49000,10.79957558,1541,1,31.8,3.45946629,18.9,2.939161922,5.7,1.740466175,0,0,1963,"Натуралистов, 5",27.616413,53.928842,4632,Парк Челюскинцев,549,8.440744019252831,6.3080984415095305
77,Заводской,47000,10.75790288,1424,1,33,3.496507561,19,2.944438979,6,1.791759469,0,1,1972,"Уборевича, 38",27.643856,53.843081,8492,Могилёвская,2868,9.046879822823147,7.961370201719511
78,Ленинский,48000,10.77895629,1333,1,36,3.583518938,19,2.944438979,6.5,1.871802177,1,1,1978,"пр-т Рокоссовского, 112",27.606585,53.856764,5844,Партизанская,2559,8.67317077287059,7.847371836159788
79,Ленинский,84000,11.33857208,1292,2,65,4.17438727,19,2.944438979,41,3.713572067,0,0,2009,"Маяковского, 103",27.573931,53.864644,4256,Пролетарская,2981,8.35608503102148,8.000014093678072
81,Советский,46000,10.73639668,1394,1,33,3.496507561,19,2.944438979,6,1.791759469,1,1,1970,"Кольцова, 12/2",27.609918,53.953212,6475,Московская,3019,8.775703886567738,8.012680929706839
82,Советский,49000,10.79957558,1531,1,32,3.465735903,19,2.944438979,5.8,1.757857918,0,0,1967,"пр-т Машерова, 18",27.573294,53.915756,1674,Площадь Якуба Коласа,685,7.422971251049421,6.529418838262226
83,Центральный,46500,10.74720759,1500,1,31,3.433987204,19,2.944438979,6,1.791759469,0,0,1963,"Гая, 13",27.560726,53.926769,2723,Площадь Якуба Коласа,1930,7.909489492673759,7.5652752818989315
85,Советский,55000,10.91508846,1852,1,29.7,3.391147046,19.1,2.949688335,6,1.791759469,1,1,1961,"М.Богдановича, 52",27.566206,53.918827,1861,Площадь Якуба Коласа,1193,7.528869256642251,7.084226422097916
86,Октябрьский,68000,11.12726298,1557,1,43.67,3.776661367,19.3,2.960105096,10.3,2.332143895,1,1,1956,"Брилевская, 3",27.532789,53.87695,3398,Институт Культуры,1126,8.130942302231878,7.026426808699636
87,Партизанский,78000,11.26446411,2091,1,37.3,3.618993327,19.5,2.970414466,8.5,2.140066163,0,1,1958,"пер.Броневой, 6",27.579842,53.904841,1211,Площадь Победы,576,7.099201743553092,6.3561076606958915
88,Фрунзенский,69000,11.14186178,1345,1,51.3,3.937690752,20.2,3.005682604,11.2,2.415913778,0,0,2007,"Харьковская, 58",27.513493,53.900326,3175,Молодёжная,956,8.063062911326792,6.862757913051401
90,Московский,46000,10.73639668,1211,2,38,3.63758616,22.1,3.095577609,7.4,2.00148,0,1,1966,"Куприянова, 17",27.519431,53.898464,2811,Молодёжная,937,7.941295570906532,6.842683282238422
91,Московский,61500,11.02679245,1281,1,48,3.871201011,23,3.135494216,9,2.197224577,0,0,2005,"Алибегова, 16",27.480668,53.872815,6245,Спортивная,3945,8.739536422559677,8.280204233279974
93,Первомайский,47000,10.75790288,1306,2,36,3.583518938,23,3.135494216,6,1.791759469,1,1,1970,"Почтовая, 1",27.710646,53.945788,10870,Уручье,1503,9.293761980115255,7.315218389752975
94,Советский,53000,10.87804719,1262,2,42,3.737669618,23,3.135494216,6,1.791759469,0,1,1963,"Я.Коласа, 63",27.602192,53.934811,4476,Парк Челюскинцев,1371,8.406485069431817,7.223295679562314
95,Фрунзенский,75100,11.22657584,1336,1,56.2,4.028916757,23.5,3.157000421,10.3,2.332143895,0,1,2008,"Лобанка, 81",27.431099,53.887199,8726,Каменная Горка,2195,9.074062353683555,7.693937325509272
96,Советский,110000,11.60823564,1630,2,67.5,4.212127598,23.6,3.161246712,25.5,3.238678452,1,1,1974,"Ломоносова, 10",27.596228,53.932378,4031,Академия наук,1157,8.301769763117166,7.053585727193677
97,Заводской,54000,10.89673933,1360,2,39.7,3.681351188,23.7,3.165475048,7.2,1.974081026,1,0,1983,"Герасименко, 29",27.682762,53.882555,8214,Могилёвская,2377,9.013595294516504,7.773594467360194
98,Советский,54900,10.91326863,1366,2,40.2,3.693866996,23.7,3.165475048,6.2,1.824549292,1,1,1969,"Кольцова, 38",27.601267,53.953418,6241,Московская,3296,8.738895704934043,8.100464891029363
100,Ленинский,53000,10.87804719,1359,2,39,3.663561646,24,3.17805383,6.2,1.824549292,1,0,1988,"пр-т Рокоссовского, 53",27.603782,53.86741,4748,Партизанская,1910,8.465478755729558,7.554858521040676
101,Первомайский,53700,10.89116828,1377,2,39,3.663561646,24,3.17805383,6.2,1.824549292,0,0,1976,"Калиновского, 83",27.637676,53.944808,6852,Восток,1434,8.832295859444011,7.2682230211595655
102,Первомайский,55000,10.91508846,1447,2,38,3.63758616,24.2,3.186352633,5.7,1.740466175,1,1,1956,"Чорного, 10/а",27.602659,53.925417,3707,Академия наук,439,8.217978203150732,6.0844994130751715
103,Партизанский,64000,11.06663836,1684,1,38,3.63758616,24.6,3.202746443,-,4.624972813,0,1,2004,"Холмогорская, 53",27.652399,53.889529,6095,Партизанская,2169,8.715224041915372,7.682021510826875
